"Valores representativos de deuda","Valors representatius de deute a llarg termini","251"
"Créditos","Crèdits a llarg termini","252"
"Créditos por enajenación de inmovilizado","Crèdits a llarg termini  per alienació d'immobilitzat","253"
"Créditos al personal","Crèdits a llarg termini al personal","254"
"Activos por derivados financieros","Actius per derivats financers","255"
"Activos por derivados financieros, cartera de negociación","Actius per derivats financers a llarg termini, cartera de negociació","2550"
"Activos por derivados financieros, instrumentos de cobertura","Actius per derivats financers a llarg termini, instruments de cobertura","2553"
"Derechos de reembolso derivados de contratos de seguro relativos a retribuciones al personal","Drets de reemborsament derivats de contractes d'assegurança relatius a retribucions a llarg termini al personal","257"
"Imposiciones","Imposicions a llarg termini","258"
"Desembolsos pendientes sobre participaciones en el patrimonio neto","Desemborsaments pendents sobre participacions en el patrimoni net a llarg termini","259"
"Fianzas y depósitos constituidos","Fiances i dipòsits constituïts a llarg termini","26"
"Fianzas constituidas","Fiances constituïdes a llarg termini","260"
"Depósitos constituidos","Dipòsits constituïts a llarg termini","265"
"Amortización acumulada del inmovilizado","Amortització acumulada de l'immobilitzat","28"
"Amortización acumulada del inmovilizado intangible","Amortització acumulada de l'immobilitzat intangible","280"
"Amortización acumulada de investigación","Amortització acumulada d'investigació","2800"
"Amortización acumulada de desarrollo","Amortització acumulada de desenvolupament","2801"
"Amortización acumulada de concesiones administrativas","Amortització acumulada de concessions administratives","2802"
"Amortización acumulada de propiedad industrial","Amortització acumulada de propietat intel·lectual","2803"
"Amortización acumulada de derechos de traspaso","Amortització acumulada de drets de traspàs","2805"
"Amortización acumulada de aplicaciones informáticas","Amortització acumulada d'aplicacions informàtiques","2806"
"Amortización acumulada del inmovilizado material","Amortització acumulada de l'immobilitzat material","281"
"Amortización acumulada de construcciones","Amortització acumulada de construccions","2811"
"Amortización acumulada de instalaciones técnicas","Amortització acumulada d'instal·lacions tècniques","2812"
"Amortización acumulada de maquinaria","Amortització acumulada de maquinària","2813"
"Amortización acumulada de utillaje","Amortització acumulada d'utillatge","2814"
"Amortización acumulada de otras instalaciones","Amortització acumulada d'altres instal·lacions","2815"
"Amortización acumulada de mobiliario","Amortització acumulada de mobiliari","2816"
"Amortización acumulada de equipos para proceso de información","Amortització acumulada d'equips per a processos d'informació","2817"
"Amortización acumulada de elementos de transporte","Amortització acumulada d'elements de transport","2818"
"Amortización acumulada de otro inmovilizado material","Amortització acumulada d'altre immobilitzat material","2819"
"Amortización acumulada de las inversiones inmobiliarias","Amortització acumulada de les inversions immobiliàries","282"
"Deterioro de valor de activos no corrientes","Deteriorament de valor d'actius no corrents","29"
"Deterioro de valor del inmovilizado intangible","Deteriorament de valor de l'immobilitzat intangible","290"
"Deterioro del valor de investigación","Deteriorament del valor d'investigació","2900"
"Deterioro del valor de desarrollo","Deteriorament del valor de desenvolupament","2901"
"Deterioro del valor de concesiones administrativas","Deteriorament del valor de concessions administratives","2902"
"Deterioro del valor de propiedad industrial","Deteriorament del valor de propietat industrial","2903"
