"Retenciones IRPF 19% + 7% IVA Soportado (operaciones corrientes)","Retencions IRPF 19% + 7% IVA Suportat (operacions corrents)"
"Retenciones IRPF 19% + 8% IVA Soportado (operaciones corrientes)","Retencions IRPF 19% + 8% IVA Suportat (operacions corrents)"
"Retenciones IRPF 19% + 10% IVA Soportado (operaciones corrientes)","Retencions IRPF 19% + 10% IVA Suportat (operacions corrents)"
"Retenciones IRPF 19% + 16% IVA Soportado (operaciones corrientes)","Retencions IRPF 19% + 16% IVA Suportat (operacions corrents)"
"Retenciones IRPF 19% + 18% IVA Soportado (operaciones corrientes)","Retencions IRPF 19% + 18% IVA Suportat (operacions corrents)"
"Retenciones IRPF 19% + 21% IVA Soportado (operaciones corrientes)","Retencions IRPF 19% + 21% IVA Suportat (operacions corrents)"
"Retenciones IRPF 19% + IVA Soportado exento (bienes de inversión)","Retencions IRPF 19% + IVA Suportat exempt (béns d'inversió)"
"Retenciones IRPF 19% + 4% IVA Soportado (bienes de inversión)","Retencions IRPF 19% + 4% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 19% + 7% IVA Soportado (bienes de inversión)","Retencions IRPF 19% + 7% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 19% + 8% IVA Soportado (bienes de inversión)","Retencions IRPF 19% + 8% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 19% + 10% IVA Soportado (bienes de inversión)","Retencions IRPF 19% + 10% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 19% + 16% IVA Soportado (bienes de inversión)","Retencions IRPF 19% + 16% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 19% + 18% IVA Soportado (bienes de inversión)","Retencions IRPF 19% + 18% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 19% + 21% IVA Soportado (bienes de inversión)","Retencions IRPF 19% + 21% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 20% + IVA Soportado exento (operaciones corrientes)","Retencions IRPF 20% + IVA Suportat exempt (operacions corrents)"
"Retenciones IRPF 20%","Retencions IRPF 20%"
"Retenciones IRPF 20% + 4% IVA Soportado (operaciones corrientes)","Retencions IRPF 20% + 4% IVA Suportat (operacions corrents)"
"Retenciones IRPF 20% + 7% IVA Soportado (operaciones corrientes)","Retencions IRPF 20% + 7% IVA Suportat (operacions corrents)"
"Retenciones IRPF 20% + 8% IVA Soportado (operaciones corrientes)","Retencions IRPF 20% + 8% IVA Suportat (operacions corrents)"
"Retenciones IRPF 20% + 10% IVA Soportado (operaciones corrientes)","Retencions IRPF 20% + 10% IVA Suportat (operacions corrents)"
"Retenciones IRPF 20% + 16% IVA Soportado (operaciones corrientes)","Retencions IRPF 20% + 16% IVA Suportat (operacions corrents)"
"Retenciones IRPF 20% + 18% IVA Soportado (operaciones corrientes)","Retencions IRPF 20% + 18% IVA Suportat (operacions corrents)"
"Retenciones IRPF 20% + 21% IVA Soportado (operaciones corrientes)","Retencions IRPF 20% + 21% IVA Suportat (operacions corrents)"
"Retenciones IRPF 20% + IVA Soportado exento (bienes de inversión)","Retencions IRPF 20% + IVA Suportat exempt (béns d'inversió)"
"Retenciones IRPF 20% + 4% IVA Soportado (bienes de inversión)","Retencions IRPF 20% + 4% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 20% + 7% IVA Soportado (bienes de inversión)","Retencions IRPF 20% + 7% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 20% + 8% IVA Soportado (bienes de inversión)","Retencions IRPF 20% + 8% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 20% + 10% IVA Soportado (bienes de inversión)","Retencions IRPF 20% + 10% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 20% + 16% IVA Soportado (bienes de inversión)","Retencions IRPF 20% + 16% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 20% + 18% IVA Soportado (bienes de inversión)","Retencions IRPF 20% + 18% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 20% + 21% IVA Soportado (bienes de inversión)","Retencions IRPF 20% + 21% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 21% + IVA Soportado exento (operaciones corrientes)","Retencions IRPF 21% + IVA Suportat exempt (operacions corrents)"
"Retenciones IRPF 21%","Retencions IRPF 21%"
"Retenciones IRPF 21% + 4% IVA Soportado (operaciones corrientes)","Retencions IRPF 21% + 4% IVA Suportat (operacions corrents)"
"Retenciones IRPF 21% + 7% IVA Soportado (operaciones corrientes)","Retencions IRPF 21% + 7% IVA Suportat (operacions corrents)"
"Retenciones IRPF 21% + 8% IVA Soportado (operaciones corrientes)","Retencions IRPF 21% + 8% IVA Suportat (operacions corrents)"
"Retenciones IRPF 21% + 10% IVA Soportado (operaciones corrientes)","Retencions IRPF 21% + 10% IVA Suportat (operacions corrents)"
"Retenciones IRPF 21% + 16% IVA Soportado (operaciones corrientes)","Retencions IRPF 21% + 16% IVA Suportat (operacions corrents)"
"Retenciones IRPF 21% + 18% IVA Soportado (operaciones corrientes)","Retencions IRPF 21% + 18% IVA Suportat (operacions corrents)"
"Retenciones IRPF 21% + 21% IVA Soportado (operaciones corrientes)","Retencions IRPF 21% + 21% IVA Suportat (operacions corrents)"
"Retenciones IRPF 21% + IVA Soportado exento (bienes de inversión)","Retencions IRPF 21% + IVA Suportat exempt (béns d'inversió)"
"Retenciones IRPF 21% + 4% IVA Soportado (bienes de inversión)","Retencions IRPF 21% + 4% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 21% + 7% IVA Soportado (bienes de inversión)","Retencions IRPF 21% + 7% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 21% + 8% IVA Soportado (bienes de inversión)","Retencions IRPF 21% + 8% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 21% + 10% IVA Soportado (bienes de inversión)","Retencions IRPF 21% + 10% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 21% + 16% IVA Soportado (bienes de inversión)","Retencions IRPF 21% + 16% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 21% + 18% IVA Soportado (bienes de inversión)","Retencions IRPF 21% + 18% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 21% + 21% IVA Soportado (bienes de inversión)","Retencions IRPF 21% + 21% IVA Suportat (béns d'inversió)"
